2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@2a04ab05
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@5ebbde60
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@a056b26
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@a056b26
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@a056b26
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@2a5abd3c
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@2a5abd3c
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@2a5abd3c
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@250967f1
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@250967f1
2025-06-18T08:19:10.347+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@250967f1
2025-06-18T08:19:10.348+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@25c1f5ee
2025-06-18T08:19:10.348+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@25c1f5ee
2025-06-18T08:19:10.348+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@25c1f5ee
2025-06-18T08:19:10.348+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@4bce62b
2025-06-18T08:19:10.348+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@4bce62b
2025-06-18T08:19:10.348+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@4bce62b
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@7bf018dd
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@7bf018dd
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@15a8cebd
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@15a8cebd
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character -> org.hibernate.type.BasicTypeReference@3f6c2763
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char -> org.hibernate.type.BasicTypeReference@3f6c2763
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@3f6c2763
2025-06-18T08:19:10.349+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@5c82031b
2025-06-18T08:19:10.350+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration string -> org.hibernate.type.BasicTypeReference@274fdea6
2025-06-18T08:19:10.350+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@274fdea6
2025-06-18T08:19:10.350+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@74c121d4
2025-06-18T08:19:10.350+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration characters -> org.hibernate.type.BasicTypeReference@2a484710
2025-06-18T08:19:10.350+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@2a484710
2025-06-18T08:19:10.351+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [C -> org.hibernate.type.BasicTypeReference@2a484710
2025-06-18T08:19:10.351+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@661e1399
2025-06-18T08:19:10.351+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration text -> org.hibernate.type.BasicTypeReference@3ffd4b12
2025-06-18T08:19:10.352+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@424f02b8
2025-06-18T08:19:10.352+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration clob -> org.hibernate.type.BasicTypeReference@2ad7bd26
2025-06-18T08:19:10.352+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@2ad7bd26
2025-06-18T08:19:10.352+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@3cc3f13e
2025-06-18T08:19:10.352+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@3cc3f13e
2025-06-18T08:19:10.352+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@69b3886f
2025-06-18T08:19:10.354+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@53d30d23
2025-06-18T08:19:10.354+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@44faa4f2
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@6793f752
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@1216eb3f
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@59e7564b
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@482ba4b1
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@482ba4b1
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@307af381
2025-06-18T08:19:10.355+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@307af381
2025-06-18T08:19:10.356+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@1510b9a2
2025-06-18T08:19:10.356+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@1510b9a2
2025-06-18T08:19:10.357+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@76a6f045
2025-06-18T08:19:10.357+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@76a6f045
2025-06-18T08:19:10.357+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@633ddc0c
2025-06-18T08:19:10.357+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@633ddc0c
2025-06-18T08:19:10.357+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@4bcdd11
2025-06-18T08:19:10.357+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@1471b98d
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@5514579e
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@5514579e
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@58c42c8c
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@3af236d0
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@23564dd2
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@54895681
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@54895681
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@2dd0a0d0
2025-06-18T08:19:10.358+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@6bf570c
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration date -> org.hibernate.type.BasicTypeReference@1796b2d4
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@1796b2d4
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration time -> org.hibernate.type.BasicTypeReference@935d3f9
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@935d3f9
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@214b342f
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@214b342f
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@214b342f
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar -> org.hibernate.type.BasicTypeReference@5db0003d
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@5db0003d
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@5db0003d
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@7f12094d
2025-06-18T08:19:10.359+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@589fb74d
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration instant -> org.hibernate.type.BasicTypeReference@200d1a3d
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@200d1a3d
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid -> org.hibernate.type.BasicTypeReference@7de147e9
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@7de147e9
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@7de147e9
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@12567179
2025-06-18T08:19:10.360+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@37d699a1
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration class -> org.hibernate.type.BasicTypeReference@7f42b194
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@7f42b194
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration currency -> org.hibernate.type.BasicTypeReference@8eb6f9a
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Currency -> org.hibernate.type.BasicTypeReference@8eb6f9a
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@8eb6f9a
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration locale -> org.hibernate.type.BasicTypeReference@29170a47
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@29170a47
2025-06-18T08:19:10.361+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration serializable -> org.hibernate.type.BasicTypeReference@2a8f8555
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@2a8f8555
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timezone -> org.hibernate.type.BasicTypeReference@402b4f81
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@402b4f81
